state,state_code,district_name,assembly_constituency_name,assembly_constituency_no,parliamentary_constituency_name,polling_station_name,polling_station_id,polling_station_type,polling_station_address,gps_lat,gps_lon,total_electors,male_electors,female_electors,other_electors,votes_polled,valid_votes,rejected_votes,candidate_1_name,candidate_1_party,candidate_1_votes,candidate_2_name,candidate_2_party,candidate_2_votes,gender_ratio_flag,caste_group,religion_group,age_category
Rajasthan,RJ,Jaipur,AC_178,178,PC_29,Booth_26520,26520,Auxiliary,Area_56,26.9124,75.7873,1601,775,683,143,856,856,0,Rajesh Sharma,BJP,165,Anil Meena,INC,691,Male-Skewed,General,Hindu,51-65
Assam,AS,Guwahati,AC_44,44,PC_62,Booth_28363,28363,Main,Area_149,26.1445,91.7362,675,235,319,121,531,526,5,Rohit Das,BJP,460,Partha Hazarika,INC,66,Female-Skewed,SC,Hindu,26-35
Punjab,PB,Amritsar,AC_223,223,PC_68,Booth_41325,41325,Auxiliary,Area_152,31.634,74.8723,1448,375,882,191,750,748,2,Sukhbir Singh,BJP,451,Harpreet Kaur,INC,297,Female-Skewed,OBC,Sikh,51-65
Manipur,MN,Imphal,AC_213,213,PC_28,Booth_66697,66697,Auxiliary,Area_200,24.817,93.9368,1506,250,126,1130,1031,1021,10,Thangjam Ranjit,INC,883,Laishram Rajesh,BJP,138,Male-Skewed,OBC,Christian,51-65
Andhra Pradesh,AP,Visakhapatnam,AC_59,59,PC_26,Booth_51236,51236,Main,Area_23,17.6868,83.2185,1095,308,705,82,812,799,13,Chandra Sekhar,BJP,764,Satya Reddy,YSRCP,35,Female-Skewed,OBC,Muslim,36-50
Chhattisgarh,CG,Bilaspur,AC_2,2,PC_75,Booth_92019,92019,Auxiliary,Area_82,22.0798,82.1391,1718,629,605,484,893,875,18,Ajay Verma,BJP,368,Rahul Sahu,INC,507,Male-Skewed,General,Hindu,51-65
Uttar Pradesh,UP,Lucknow,AC_256,256,PC_69,Booth_23335,23335,Main,Area_160,26.8467,80.9462,613,237,289,87,321,308,13,Rahul Yadav,BJP,160,Arvind Sharma,INC,148,Female-Skewed,OBC,Hindu,51-65
Meghalaya,ML,Shillong,AC_54,54,PC_2,Booth_65359,65359,Main,Area_5,25.5788,91.8933,1053,433,199,421,1038,1030,8,Paul Lyngdoh,INC,934,James Marak,BJP,96,Male-Skewed,OBC,Hindu,26-35
Telangana,TS,Hyderabad,AC_92,92,PC_68,Booth_52391,52391,Auxiliary,Area_21,17.385,78.4867,1745,1398,118,229,993,982,11,K. Chandrashekar Rao,TRS,938,Anil Kumar,BJP,44,Male-Skewed,General,Sikh,36-50
Andhra Pradesh,AP,Vijayawada,AC_272,272,PC_13,Booth_97866,97866,Main,Area_25,16.5062,80.648,644,343,251,50,467,466,1,N. Chandrababu Naidu,TDP,120,Y.S. Jagan,YSRCP,346,Male-Skewed,ST,Hindu,26-35
